#                 x                   p
  5.82806719551e-19       101825.091128
   0.00502512562814       101825.106045
    0.0100502512563       101825.094974
    0.0150753768844       101825.089065
    0.0201005025126       101825.080888
    0.0251256281407       101825.069241
    0.0301507537688       101825.055555
     0.035175879397       101825.041543
    0.0402010050251       101825.028124
    0.0452261306533       101825.015673
    0.0502512562814       101825.005222
    0.0552763819095       101824.997526
    0.0603015075377       101824.991765
    0.0653266331658       101824.988255
     0.070351758794       101824.986766
    0.0753768844221       101824.987451
    0.0804020100503       101824.990501
    0.0854271356784       101824.994871
    0.0904522613065       101825.001116
    0.0954773869347        101825.00934
     0.100502512563       101825.019036
     0.105527638191       101825.030786
     0.110552763819       101825.044902
     0.115577889447       101825.060987
     0.120603015075       101825.078945
     0.125628140704       101825.098775
     0.130653266332       101825.120347
      0.13567839196       101825.143482
     0.140703517588       101825.168262
     0.145728643216       101825.194565
     0.150753768844       101825.221894
     0.155778894472        101825.25085
     0.160804020101       101825.281295
     0.165829145729       101825.312397
     0.170854271357        101825.34416
     0.175879396985       101825.376451
     0.180904522613       101825.409725
     0.185929648241       101825.443688
     0.190954773869       101825.477626
     0.195979899497       101825.512728
     0.201005025126        101825.54878
     0.206030150754       101825.584613
     0.211055276382       101825.621064
      0.21608040201       101825.658645
     0.221105527638       101825.697111
     0.226130653266       101825.735798
     0.231155778894       101825.774348
     0.236180904523       101825.813743
     0.241206030151       101825.853756
     0.246231155779       101825.893657
     0.251256281407       101825.934798
     0.256281407035       101825.977111
     0.261306532663       101826.019537
     0.266331658291       101826.062967
      0.27135678392       101826.107872
     0.276381909548       101826.153663
     0.281407035176        101826.20022
     0.286432160804       101826.247971
     0.291457286432       101826.296704
      0.29648241206       101826.346836
     0.301507537688       101826.399543
     0.306532663317       101826.454292
     0.311557788945       101826.510505
     0.316582914573       101826.568728
     0.321608040201       101826.629336
     0.326633165829       101826.692408
     0.331658291457       101826.758248
     0.336683417085       101826.828406
     0.341708542714       101826.903191
     0.346733668342       101826.981562
      0.35175879397        101827.06496
     0.356783919598       101827.155232
     0.361809045226       101827.251909
     0.366834170854       101827.355379
     0.371859296482       101827.468284
     0.376884422111        101827.59151
     0.381909547739       101827.726008
     0.386934673367       101827.875266
     0.391959798995       101828.041522
     0.396984924623       101828.226779
     0.402010050251       101828.434781
     0.407035175879         101828.6716
     0.412060301508       101828.945654
     0.417085427136       101829.266028
     0.422110552764       101829.645983
     0.427135678392       101830.105587
      0.43216080402       101830.675089
     0.437185929648       101831.401954
     0.442211055276       101832.360574
     0.447236180905       101833.665794
     0.452261306533         101835.4815
     0.457286432161        101837.99184
     0.462311557789       101841.311254
     0.467336683417       101845.256061
     0.472361809045       101849.150584
     0.477386934673       101852.121315
     0.482412060302       101853.687229
      0.48743718593       101854.386917
     0.492462311558       101855.462014
     0.497487437186       101857.250456
     0.502512562814        101859.07901
     0.507537688442        101860.50914
      0.51256281407       101861.469689
     0.517587939698       101862.018698
     0.522613065327       101862.357482
     0.527638190955       101862.677276
     0.532663316583         101863.0419
     0.537688442211       101863.464925
     0.542713567839       101863.982305
     0.547738693467       101864.612446
     0.552763819095       101865.338031
     0.557788944724       101866.157892
     0.562814070352       101867.055463
      0.56783919598       101867.976753
     0.572864321608       101868.906963
     0.577889447236       101869.862028
     0.582914572864       101870.847756
     0.587939698492       101871.856622
     0.592964824121       101872.852989
     0.597989949749       101873.805723
     0.603015075377       101874.707455
     0.608040201005       101875.534256
     0.613065326633       101876.256127
     0.618090452261       101876.887484
     0.623115577889       101877.445249
     0.628140703518       101877.920609
     0.633165829146       101878.314243
     0.638190954774       101878.634902
     0.643216080402       101878.890164
      0.64824120603       101879.085877
     0.653266331658       101879.240024
     0.658291457286       101879.372239
     0.663316582915       101879.482499
     0.668341708543        101879.57778
     0.673366834171       101879.675815
     0.678391959799       101879.772591
     0.683417085427       101879.861109
     0.688442211055       101879.931003
     0.693467336683       101879.987313
     0.698492462312       101880.037722
      0.70351758794       101880.075865
     0.708542713568       101880.095303
     0.713567839196       101880.088149
     0.718592964824       101880.066465
     0.723618090452       101880.027144
      0.72864321608       101879.957902
     0.733668341709       101879.852459
     0.738693467337       101879.725948
     0.743718592965       101879.587425
     0.748743718593       101879.429831
     0.753768844221       101879.290736
     0.758793969849       101879.160801
     0.763819095477       101879.006378
     0.768844221106       101878.855566
     0.773869346734       101878.703521
     0.778894472362       101878.547061
      0.78391959799       101878.409303
     0.788944723618        101878.28326
     0.793969849246       101878.158069
     0.798994974874       101878.030178
     0.804020100503       101877.903659
     0.809045226131       101877.800375
     0.814070351759       101877.697425
     0.819095477387       101877.626657
     0.824120603015       101877.618744
     0.829145728643       101877.607244
     0.834170854271       101877.638892
     0.839195979899       101877.722629
     0.844221105528       101877.789098
     0.849246231156       101877.905222
     0.854271356784       101878.063976
     0.859296482412       101878.178442
      0.86432160804       101878.247368
     0.869346733668         101878.3055
     0.874371859296       101878.390945
     0.879396984925       101878.476464
     0.884422110553       101878.533616
     0.889447236181       101878.555083
     0.894472361809       101878.602491
     0.899497487437       101878.670413
     0.904522613065       101878.680012
     0.909547738693       101878.719984
     0.914572864322       101878.784402
      0.91959798995       101878.806218
     0.924623115578        101878.83648
     0.929648241206       101878.841918
     0.934673366834       101878.812526
     0.939698492462       101878.756685
      0.94472361809        101878.72065
     0.949748743719        101878.70225
     0.954773869347       101878.626773
     0.959798994975       101878.520023
     0.964824120603       101878.447639
     0.969849246231       101878.411463
     0.974874371859       101878.360987
     0.979899497487       101878.309242
     0.984924623116       101878.272003
     0.989949748744       101878.220498
