#                 x                   p
  5.82806719551e-19       101824.965537
   0.00502512562814       101824.978913
    0.0100502512563       101824.963757
    0.0150753768844       101824.954572
    0.0201005025126       101824.947075
    0.0251256281407       101824.939262
    0.0301507537688        101824.92931
     0.035175879397       101824.917877
    0.0402010050251       101824.906715
    0.0452261306533       101824.895434
    0.0502512562814       101824.885347
    0.0552763819095       101824.878085
    0.0603015075377       101824.873124
    0.0653266331658       101824.870259
     0.070351758794       101824.868711
    0.0753768844221       101824.867611
    0.0804020100503       101824.868846
    0.0854271356784       101824.872653
    0.0904522613065       101824.878017
    0.0954773869347       101824.885247
     0.100502512563       101824.893785
     0.105527638191       101824.903334
     0.110552763819        101824.91491
     0.115577889447       101824.928595
     0.120603015075       101824.943853
     0.125628140704        101824.96092
     0.130653266332       101824.980003
      0.13567839196       101825.000704
     0.140703517588       101825.023167
     0.145728643216       101825.047703
     0.150753768844       101825.073637
     0.155778894472       101825.100664
     0.160804020101        101825.12885
     0.165829145729       101825.158477
     0.170854271357       101825.189564
     0.175879396985       101825.221697
     0.180904522613       101825.254516
     0.185929648241       101825.288491
     0.190954773869       101825.323413
     0.195979899497       101825.358608
     0.201005025126       101825.394928
     0.206030150754       101825.432539
     0.211055276382       101825.470735
      0.21608040201       101825.509363
     0.221105527638       101825.548373
     0.226130653266       101825.588516
     0.231155778894       101825.629766
     0.236180904523       101825.671828
     0.241206030151       101825.715186
     0.246231155779       101825.759311
     0.251256281407       101825.803833
     0.256281407035       101825.850211
     0.261306532663       101825.898426
     0.266331658291       101825.947304
      0.27135678392       101825.997554
     0.276381909548       101826.050328
     0.281407035176       101826.105639
     0.286432160804       101826.162778
     0.291457286432       101826.222134
      0.29648241206       101826.283656
     0.301507537688       101826.347115
     0.306532663317       101826.414128
     0.311557788945       101826.485471
     0.316582914573       101826.561307
     0.321608040201        101826.64229
     0.326633165829       101826.729224
     0.331658291457        101826.82226
     0.336683417085       101826.921753
     0.341708542714       101827.029638
     0.346733668342       101827.147319
      0.35175879397       101827.276086
     0.356783919598       101827.418056
     0.361809045226       101827.576804
     0.366834170854       101827.754363
     0.371859296482       101827.953672
     0.376884422111       101828.184329
     0.381909547739        101828.45398
